timestamp_utc,vertical,doc_id,offset,cohesion,tp,fp,fn,tn,na,recall,precision,f1,passes_gates
2026-06-22T16:22:37.1126608+00:00,privacy-law25,novacrm-compliant,0.00,0,4,0,1,1,0,0.800,1.000,0.889,0
2026-06-22T16:22:37.5949068+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:22:38.0757958+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:22:38.7393984+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:22:39.2465040+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:22:39.5786402+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:22:39.8722928+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:22:40.1641833+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:22:40.4854741+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:22:40.9162446+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:22:41.4055271+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:24.6563094+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:25.2242880+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:23:25.5376420+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:25.7826895+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:26.2664373+00:00,privacy-gdpr,novacrm-compliant,0.00,0,6,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:26.4862884+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T16:23:27.0058865+00:00,privacy-law25,novacrm-compliant,0.00,0,5,0,0,1,0,1.000,1.000,1.000,1
2026-06-22T16:23:27.3407830+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:23:27.7068687+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:23:28.2860159+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:23:28.6979077+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:29.0389542+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:29.3468623+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:29.6155587+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:23:29.9041906+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:30.3038730+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:30.6361459+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:40.3368694+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:40.9718703+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:23:41.3114650+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:41.5881403+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:42.2144989+00:00,privacy-gdpr,novacrm-compliant,0.00,0,6,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:42.4366530+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T16:23:42.8767345+00:00,privacy-law25,novacrm-compliant,0.00,0,5,0,0,1,0,1.000,1.000,1.000,1
2026-06-22T16:23:43.2936603+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:23:43.6693677+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:23:44.1995492+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:23:44.6403618+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:44.9553281+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:45.2605893+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:23:45.5395120+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:23:45.7974674+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:46.1711197+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:23:46.4802687+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:24:17.0756071+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:24:18.4374470+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:24:19.1355275+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:24:19.7265545+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:24:20.9349088+00:00,privacy-gdpr,novacrm-compliant,0.00,0,6,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:24:21.4690350+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T16:24:22.6076783+00:00,privacy-law25,novacrm-compliant,0.00,0,5,0,0,1,0,1.000,1.000,1.000,1
2026-06-22T16:24:23.4995224+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:24:24.3888277+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:24:25.5710213+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:24:26.4058266+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:24:27.0339970+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:24:27.6858960+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:24:28.2767851+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:24:28.8137674+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:24:29.6038055+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:24:30.2779243+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:37:54.0048265+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:37:55.4910357+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:37:56.2399835+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:37:56.8913060+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:37:58.3112138+00:00,privacy-gdpr,novacrm-compliant,0.00,0,6,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:37:58.9277314+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T16:38:00.1626496+00:00,privacy-law25,novacrm-compliant,0.00,0,5,0,0,1,0,1.000,1.000,1.000,1
2026-06-22T16:38:00.9947600+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:38:01.8695977+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:38:02.9719273+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:38:03.7807364+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:38:04.4515528+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
